,Metro name,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,Atlanta,74007,72861,68266,44770,19294,6533,7575,8634,14380,24297,26683,30342,36357,33832,39441
1,Austin,18015,23241,26096,19903,11792,8758,8786,10239,19563,20852,19949,22370,21861,26700,30035
2,Baltimore,10282,11327,8133,6207,5544,5115,5594,6153,5956,8069,7100,8264,8070,6840,9287
3,Birmingham,7800,7668,7807,5433,3359,1807,1924,2362,3301,2776,3364,3733,3312,2689,3025
4,Boston,15423,17442,13916,11248,7634,5476,6672,6139,8851,12021,12024,15036,13247,14757,14183
5,Buffalo,2510,2096,2023,1932,1544,1367,1498,1315,1252,1934,1878,1677,1964,1657,1453
6,Charlotte,21551,22027,25161,21190,12236,7091,5288,6446,12247,14009,18537,19543,20574,22869,26209
7,Chicago,47541,53908,46722,33933,16058,6097,7267,7593,9357,11627,15679,15813,19941,22132,17681
8,Cincinnati,13049,12917,9447,6884,4000,3515,3206,3369,3604,4330,5206,4661,5867,6465,6076
9,Cleveland,7409,6438,5194,4075,2685,2069,1941,1767,2332,2741,2900,2938,3053,3227,2981
10,Columbus,13290,12263,7876,6402,4449,4059,4444,4730,6811,8363,7044,7555,8637,8892,9440
11,Dallas,54179,59895,56514,43568,36321,20370,19558,24827,35042,37910,41418,57146,55800,62524,63893
12,Denver,21836,20849,18070,14217,8814,4112,5042,6673,13760,15475,15767,18326,21947,22735,21729
13,Detroit,21808,16392,8920,4325,2590,1333,3210,3366,4525,6352,6295,7304,7659,10089,7163
14,Hartford,4058,4036,3638,2795,1691,1338,1279,1123,1323,1479,1393,1582,2065,1507,1587
15,Houston,56036,62125,71719,63274,42728,27326,27452,31271,43290,51333,63741,56901,44732,42395,57288
16,Indianapolis,15355,15619,11341,8298,6982,5600,5921,5259,4994,8151,8006,8735,7773,9079,8894
17,Jacksonville,19326,25088,16967,10928,6963,4666,3606,3911,7166,7358,7781,9671,11768,12959,15450
18,Kansas City,15058,15218,13205,8129,5300,3406,2714,3287,4981,7532,8201,8954,10389,9851,10268
19,Las Vegas,36395,39237,33728,24089,12537,5688,5474,5147,7375,8573,10036,10605,13577,14073,12044
20,Los Angeles,35785,30641,33505,26616,15045,7281,10394,14247,17447,25198,26950,34034,32114,31084,29524
21,Louisville,8689,7134,5665,6062,3691,2410,2525,2397,3671,4017,4011,3979,5149,5785,5513
22,Memphis,10130,10792,10251,8078,3106,2034,2429,2210,3506,3650,3154,3951,4354,3860,4492
23,Miami,46084,45562,35110,15145,7821,3875,5877,7532,13261,19921,15259,23450,18742,19723,19553
24,Milwaukee,5902,5444,4290,3266,2425,1427,1929,1578,1764,1949,2355,3001,3992,3644,3769
25,Minneapolis,27714,22069,15712,9982,5781,4670,5726,5148,11493,12033,11425,11673,14160,15100,18206
26,Nashville,16281,16654,15327,13567,8188,4933,5092,5394,8247,10889,14944,18291,20182,20631,19159
27,New York,56873,67207,60987,56405,51590,16707,18668,21539,26912,39824,47984,86424,43231,50578,49692
28,Oklahoma City,9331,9049,7433,6275,4099,3452,3635,3261,6577,7505,7870,6004,6740,5419,5730
29,Orlando,33992,36137,30984,18638,10233,4487,5254,6505,12006,15563,16115,20474,23254,19065,28882
30,Philadelphia,21010,20242,17212,13477,10570,7093,7053,6979,9270,11217,13631,12317,12245,13544,13156
31,Phoenix,65259,62617,44280,37272,18533,9272,8300,9081,15967,18737,20341,22402,28583,29312,31343
32,Pittsburgh,6856,5601,5633,4680,3774,3033,3615,2914,3466,4563,4190,5264,4403,4328,4037
33,Portland,15859,17251,15376,13115,7408,4020,4476,5213,7785,11730,12356,13967,14729,15983,14180
34,Providence,4410,4653,3685,3085,1598,1437,1439,1178,1361,1974,1775,1818,2564,2010,1963
35,Raleigh,14404,14614,17712,16614,11397,4894,5213,6366,12926,11431,11647,11987,13514,14180,15950
36,Richmond,9298,9832,7980,7118,4982,3296,3456,2709,4271,5005,4312,4875,4919,7145,6061
37,Riverside,51463,51008,38089,20086,8946,6335,6336,4736,5949,9348,10166,9926,10921,14676,14809
38,Rochester,3045,2730,2288,1906,1898,1625,1449,1523,1600,1292,1791,2652,2067,1778,2206
39,Sacramento,21999,20182,11877,8050,5511,2710,2702,2491,3408,4189,4159,6184,7204,9503,7873
40,Salt Lake City,7659,9243,7669,6245,4070,4692,2989,3457,3904,5528,5318,6755,8731,7367,8750
41,San Antonio,17539,22305,19761,13295,10574,5924,6865,7127,8004,6128,10332,7824,12241,12516,11497
42,San Diego,15587,14306,9191,7435,5357,2946,3494,5370,5666,8264,6875,9883,10791,10441,9834
43,San Francisco,15239,14883,14483,10560,7555,3550,4621,5783,9163,10922,10001,13386,14787,16952,17421
44,San Jose,5492,5736,6150,4194,3490,1094,4179,3097,5532,7764,10037,5788,6167,8539,8744
45,Seattle,24135,25519,25743,25403,15512,7419,10040,11230,17666,19517,21953,25008,25489,27334,28186
46,St. Louis,15720,15506,11807,10311,5735,5162,5660,4407,5489,5548,6992,7698,7711,7295,7338
47,Tampa,29557,34174,22640,12249,9613,6962,6501,6342,10161,12152,12386,15653,17752,18268,17452
48,Virginia Beach,10186,11360,7689,6317,5149,5302,3966,5559,5383,7377,5715,6722,6213,6182,5604
49,Washington,38024,36776,27958,22459,13732,12329,13065,19657,22404,24033,24804,23007,25687,27265,25757
